idUsuario,idTipoUsuario,nome,email,senha
1,3,Ligia,ligia@gmail.com,12345678
2,3,Alexandre,alexandre@gmail.com,34594675
3,3,Fernando,fernando@gmail.com,23431874
4,3,Henrique,henrique@gmail.com,76557910
5,3,João,joao@hotmail.com,01202486
6,3,Bruno,bruno@gmail.com,62797645
7,3,Mariana,mariana@outlook.com,12858455
8,2,Dr. Ricardo L.,ricardo.lemos@spmedicalgroup.com.br,44331870
9,2,Dr. Roberto P.,roberto.possarle@spmedicalgroup.com.br,69824971
10,2,Dra. Helena S.,helena.souza@spmedicalgroup.com.br,41254970
11,1,Edvaldo,edvaldo.silva@spmedicalgroup.com.br,47098654
